dataset;idtweets;date;time;city
aires_ser_morf;x1460037121968906240;15/11/2021;0:09:10;Buenos Aires
santiago_hacer_morf;x1460037128314785792;15/11/2021;0:09:12;Santiago
caracas_ser_morf;x1460037181418913793;15/11/2021;0:09:24;Caracas
aires_tener_morf;x1460037195671261191;15/11/2021;0:09:28;Buenos Aires
madrid_tener_morf;x1460037202684096518;15/11/2021;0:09:29;Madrid
aires_tener_morf;x1460037230789947397;15/11/2021;0:09:36;Buenos Aires
aires_tener_morf;x1460037230789947397;15/11/2021;0:09:36;Buenos Aires
aires_ser_morf;x1460037235399614466;15/11/2021;0:09:37;Buenos Aires
santiago_ser_morf;x1460037236121120768;15/11/2021;0:09:37;Santiago
santiago_hacer_morf;x1460037251992330250;15/11/2021;0:09:41;Santiago
aires_ser_peri;x1460037255033200644;15/11/2021;0:09:42;Buenos Aires
madrid_ser_morf;x1460037273806856192;15/11/2021;0:09:46;Madrid
santiago_ser_morf;x1460037274251366400;15/11/2021;0:09:47;Santiago
aires_ser_peri;x1460037332829032453;15/11/2021;0:10:00;Buenos Aires
caracas_ser_morf;x1460037383571841030;15/11/2021;0:10:13;Caracas
madrid_ir_morf;x1460037401586253826;15/11/2021;0:10:17;Madrid
aires_ser_peri;x1460037425481224193;15/11/2021;0:10:23;Buenos Aires
aires_tener_morf;x1460037468447780864;15/11/2021;0:10:33;Buenos Aires
santiago_ser_morf;x1460037470440071172;15/11/2021;0:10:33;Santiago
madrid_ir_morf;x1460037473292148742;15/11/2021;0:10:34;Madrid
aires_ser_peri;x1460037478589603840;15/11/2021;0:10:35;Buenos Aires
aires_ser_morf;x1460037507026853888;15/11/2021;0:10:42;Buenos Aires
lima_tener_morf;x1460037514396372993;15/11/2021;0:10:44;Lima
caracas_ser_morf;x1460037517147783168;15/11/2021;0:10:44;Caracas
madrid_ir_morf;x1460037538396131331;15/11/2021;0:10:49;Madrid
santiago_hacer_morf;x1460037540568711169;15/11/2021;0:10:50;Santiago
aires_ser_morf;x1460037541286060033;15/11/2021;0:10:50;Buenos Aires
santiago_ser_morf;x1460037549699723264;15/11/2021;0:10:52;Santiago
aires_ser_peri;x1460037571845701633;15/11/2021;0:10:57;Buenos Aires
mexico_ser_morf;x1460037585376526341;15/11/2021;0:11:01;México
caracas_hacer_morf;x1460037591357702148;15/11/2021;0:11:02;Caracas
caracas_hacer_morf;x1460037640389120010;15/11/2021;0:11:14;Caracas
lima_ser_morf;x1460037641580199939;15/11/2021;0:11:14;Lima
lima_ser_morf;x1460037644847562753;15/11/2021;0:11:15;Lima
aires_ir_morf;x1460037669317234688;15/11/2021;0:11:21;Buenos Aires
aires_ser_morf;x1460037680700473347;15/11/2021;0:11:23;Buenos Aires
lima_ir_peri;x1460037692213932034;15/11/2021;0:11:26;Lima
mexico_tener_morf;x1460037697091821568;15/11/2021;0:11:27;México
mexico_ir_morf;x1460037697091821568;15/11/2021;0:11:27;México
santiago_ser_morf;x1460037704243027969;15/11/2021;0:11:29;Santiago
madrid_ser_morf;x1460037722777731078;15/11/2021;0:11:33;Madrid
santiago_ir_peri;x1460037724774223874;15/11/2021;0:11:34;Santiago
santiago_hacer_morf;x1460037739420737539;15/11/2021;0:11:37;Santiago
madrid_ser_morf;x1460037804604407808;15/11/2021;0:11:53;Madrid
caracas_ser_morf;x1460037805749460993;15/11/2021;0:11:53;Caracas
lima_ser_morf;x1460037805850218496;15/11/2021;0:11:53;Lima
madrid_tener_morf;x1460037806009589769;15/11/2021;0:11:53;Madrid
madrid_tener_morf;x1460037806009589769;15/11/2021;0:11:53;Madrid
aires_ser_peri;x1460037806781308929;15/11/2021;0:11:53;Buenos Aires
aires_ser_peri;x1460037813878022146;15/11/2021;0:11:55;Buenos Aires
santiago_ser_morf;x1460037850485989377;15/11/2021;0:12:04;Santiago
aires_tener_peri;x1460037856324472835;15/11/2021;0:12:05;Buenos Aires
mexico_ser_morf;x1460037901211811844;15/11/2021;0:12:16;México
santiago_tener_peri;x1460037973236273155;15/11/2021;0:12:33;Santiago
madrid_ser_morf;x1460037976696799232;15/11/2021;0:12:34;Madrid
aires_ser_morf;x1460038041821712391;15/11/2021;0:12:50;Buenos Aires
aires_tener_peri;x1460038051665793033;15/11/2021;0:12:52;Buenos Aires
mexico_ser_morf;x1460038072033181696;15/11/2021;0:12:57;México
aires_ser_morf;x1460038073434128390;15/11/2021;0:12:57;Buenos Aires
caracas_ser_morf;x1460038084662370309;15/11/2021;0:13:00;Caracas
madrid_ser_morf;x1460038181303246853;15/11/2021;0:13:23;Madrid
aires_ir_peri;x1460038208729796609;15/11/2021;0:13:29;Buenos Aires
aires_tener_peri;x1460038228719939590;15/11/2021;0:13:34;Buenos Aires
aires_ser_peri;x1460038242049351682;15/11/2021;0:13:37;Buenos Aires
caracas_ser_peri;x1460038245572657154;15/11/2021;0:13:38;Caracas
aires_ser_morf;x1460038245815828492;15/11/2021;0:13:38;Buenos Aires
aires_ser_peri;x1460038259048808449;15/11/2021;0:13:41;Buenos Aires
santiago_ser_morf;x1460038264673366019;15/11/2021;0:13:43;Santiago
santiago_hacer_morf;x1460038279294717954;15/11/2021;0:13:46;Santiago
aires_ser_morf;x1460038279588364288;15/11/2021;0:13:46;Buenos Aires
santiago_hacer_peri;x1460038309313449986;15/11/2021;0:13:53;Santiago
santiago_hacer_morf;x1460038329651576835;15/11/2021;0:13:58;Santiago
aires_tener_peri;x1460038337222348802;15/11/2021;0:14:00;Buenos Aires
aires_ser_peri;x1460038339000737806;15/11/2021;0:14:00;Buenos Aires
santiago_ser_morf;x1460038347510849539;15/11/2021;0:14:02;Santiago
santiago_ser_morf;x1460038347510849539;15/11/2021;0:14:02;Santiago
santiago_ser_morf;x1460038347510849539;15/11/2021;0:14:02;Santiago
santiago_ser_peri;x1460038403249127431;15/11/2021;0:14:16;Santiago
aires_tener_morf;x1460038476586307586;15/11/2021;0:14:33;Buenos Aires
santiago_ser_peri;x1460038486661033993;15/11/2021;0:14:36;Santiago
santiago_ser_morf;x1460038486661033993;15/11/2021;0:14:36;Santiago
aires_ser_morf;x1460038491149148161;15/11/2021;0:14:37;Buenos Aires
santiago_hacer_morf;x1460038509994004480;15/11/2021;0:14:41;Santiago
aires_ser_morf;x1460038525487923209;15/11/2021;0:14:45;Buenos Aires
aires_ser_morf;x1460038586049433605;15/11/2021;0:14:59;Buenos Aires
mexico_ser_peri;x1460038588100497408;15/11/2021;0:15:00;México
santiago_ser_morf;x1460038598347079685;15/11/2021;0:15:02;Santiago
aires_ser_peri;x1460038601635467267;15/11/2021;0:15:03;Buenos Aires
santiago_tener_morf;x1460038610833526787;15/11/2021;0:15:05;Santiago
aires_ser_morf;x1460038644912246787;15/11/2021;0:15:13;Buenos Aires
aires_ser_peri;x1460038658732535811;15/11/2021;0:15:17;Buenos Aires
aires_tener_peri;x1460038658732535811;15/11/2021;0:15:17;Buenos Aires
lima_ser_morf;x1460038707130642436;15/11/2021;0:15:28;Lima
lima_ser_peri;x1460038707130642436;15/11/2021;0:15:28;Lima
aires_ir_peri;x1460038808842473477;15/11/2021;0:15:52;Buenos Aires
santiago_ser_morf;x1460038852219785221;15/11/2021;0:16:03;Santiago
madrid_ser_morf;x1460038893663838214;15/11/2021;0:16:13;Madrid
santiago_hacer_morf;x1460038895702188034;15/11/2021;0:16:13;Santiago
madrid_tener_peri;x1460038906754260992;15/11/2021;0:16:16;Madrid
aires_ser_morf;x1460038946025574412;15/11/2021;0:16:25;Buenos Aires
aires_ser_morf;x1460038947745275905;15/11/2021;0:16:26;Buenos Aires
caracas_ser_morf;x1460038948013625349;15/11/2021;0:16:26;Caracas
aires_ser_morf;x1460038964295966721;15/11/2021;0:16:29;Buenos Aires
aires_ser_morf;x1460038964295966721;15/11/2021;0:16:29;Buenos Aires
santiago_hacer_morf;x1460038990413930496;15/11/2021;0:16:36;Santiago
aires_ser_peri;x1460038997858729984;15/11/2021;0:16:37;Buenos Aires
caracas_ir_morf;x1460039007077863432;15/11/2021;0:16:40;Caracas
lima_ir_morf;x1460039059754131457;15/11/2021;0:16:52;Lima
caracas_ser_morf;x1460039060580352002;15/11/2021;0:16:52;Caracas
aires_ser_peri;x1460039079094018054;15/11/2021;0:16:57;Buenos Aires
santiago_ir_morf;x1460039080868139008;15/11/2021;0:16:57;Santiago
santiago_ser_morf;x1460039090254934017;15/11/2021;0:16:59;Santiago
aires_tener_peri;x1460039100887711748;15/11/2021;0:17:02;Buenos Aires
santiago_ir_peri;x1460039108055560193;15/11/2021;0:17:04;Santiago
madrid_ser_morf;x1460039119346802695;15/11/2021;0:17:06;Madrid
madrid_ser_morf;x1460039127685111811;15/11/2021;0:17:08;Madrid
aires_ser_peri;x1460039139139760129;15/11/2021;0:17:11;Buenos Aires
caracas_ser_morf;x1460039153308114947;15/11/2021;0:17:15;Caracas
aires_ser_morf;x1460039161054957578;15/11/2021;0:17:16;Buenos Aires
santiago_ser_morf;x1460039169321971713;15/11/2021;0:17:18;Santiago
aires_ser_morf;x1460039180411674637;15/11/2021;0:17:21;Buenos Aires
aires_ser_morf;x1460039233578536964;15/11/2021;0:17:34;Buenos Aires
aires_ser_morf;x1460039240021168134;15/11/2021;0:17:35;Buenos Aires
caracas_ir_morf;x1460039244152512514;15/11/2021;0:17:36;Caracas
mexico_tener_morf;x1460039274028355591;15/11/2021;0:17:43;México
santiago_ser_morf;x1460039323563270147;15/11/2021;0:17:55;Santiago
madrid_ir_peri;x1460039337882570765;15/11/2021;0:17:59;Madrid
santiago_hacer_morf;x1460039364533182468;15/11/2021;0:18:05;Santiago
aires_ser_peri;x1460039378055708676;15/11/2021;0:18:08;Buenos Aires
aires_ser_peri;x1460039389921394689;15/11/2021;0:18:11;Buenos Aires
santiago_ir_morf;x1460039390256779267;15/11/2021;0:18:11;Santiago
aires_ir_peri;x1460039412746788873;15/11/2021;0:18:16;Buenos Aires
aires_ser_peri;x1460039412834836482;15/11/2021;0:18:16;Buenos Aires
aires_ser_peri;x1460039441888825345;15/11/2021;0:18:23;Buenos Aires
aires_ser_peri;x1460039455868395521;15/11/2021;0:18:27;Buenos Aires
santiago_ser_morf;x1460039473551626240;15/11/2021;0:18:31;Santiago
madrid_ir_morf;x1460039501846392834;15/11/2021;0:18:38;Madrid
aires_ser_peri;x1460039510377517057;15/11/2021;0:18:40;Buenos Aires
lima_ser_morf;x1460039521702227972;15/11/2021;0:18:42;Lima
lima_tener_peri;x1460039530933858307;15/11/2021;0:18:45;Lima
santiago_tener_peri;x1460039552777687040;15/11/2021;0:18:50;Santiago
mexico_hacer_morf;x1460039554044510208;15/11/2021;0:18:50;México
lima_tener_morf;x1460039560658927622;15/11/2021;0:18:52;Lima
caracas_hacer_morf;x1460039567428497411;15/11/2021;0:18:53;Caracas
aires_ser_peri;x1460039571895431171;15/11/2021;0:18:54;Buenos Aires
aires_tener_peri;x1460039581303250946;15/11/2021;0:18:57;Buenos Aires
mexico_ser_morf;x1460039590409084938;15/11/2021;0:18:59;México
lima_ser_morf;x1460039594569871370;15/11/2021;0:19:00;Lima
aires_ser_peri;x1460039657949999105;15/11/2021;0:19:15;Buenos Aires
madrid_ser_morf;x1460039664065208323;15/11/2021;0:19:16;Madrid
santiago_ser_morf;x1460039670331441156;15/11/2021;0:19:18;Santiago
aires_ser_morf;x1460039676513992706;15/11/2021;0:19:19;Buenos Aires
santiago_ser_morf;x1460039690371756036;15/11/2021;0:19:23;Santiago
aires_ser_morf;x1460039815173480454;15/11/2021;0:19:52;Buenos Aires
aires_hacer_peri;x1460039830281334785;15/11/2021;0:19:56;Buenos Aires
caracas_ir_morf;x1460039846303395845;15/11/2021;0:20:00;Caracas
madrid_tener_morf;x1460039847779971072;15/11/2021;0:20:00;Madrid
mexico_ser_morf;x1460039852091748352;15/11/2021;0:20:01;México
aires_tener_morf;x1460039859343613953;15/11/2021;0:20:03;Buenos Aires
lima_tener_morf;x1460039882999570434;15/11/2021;0:20:08;Lima
santiago_ser_peri;x1460039922279092227;15/11/2021;0:20:18;Santiago
lima_ser_morf;x1460039957620436994;15/11/2021;0:20:26;Lima
caracas_ser_morf;x1460039961500127237;15/11/2021;0:20:27;Caracas
caracas_ser_morf;x1460039961500127237;15/11/2021;0:20:27;Caracas
santiago_ser_morf;x1460039963941163010;15/11/2021;0:20:28;Santiago
lima_hacer_morf;x1460039968139665409;15/11/2021;0:20:29;Lima
mexico_tener_morf;x1460039977027387398;15/11/2021;0:20:31;México
lima_ser_morf;x1460040001979224065;15/11/2021;0:20:37;Lima
aires_ser_morf;x1460040005884198918;15/11/2021;0:20:38;Buenos Aires
mexico_ir_peri;x1460040032014774274;15/11/2021;0:20:44;México
lima_ser_morf;x1460040037484142593;15/11/2021;0:20:45;Lima
lima_ser_morf;x1460040064713596931;15/11/2021;0:20:52;Lima
aires_ser_morf;x1460040086536347651;15/11/2021;0:20:57;Buenos Aires
aires_hacer_morf;x1460040094543400966;15/11/2021;0:20:59;Buenos Aires
santiago_hacer_morf;x1460040102709764101;15/11/2021;0:21:01;Santiago
aires_ser_morf;x1460040117041524736;15/11/2021;0:21:04;Buenos Aires
mexico_hacer_morf;x1460040158645006341;15/11/2021;0:21:14;México
santiago_ser_morf;x1460040167276879878;15/11/2021;0:21:16;Santiago
aires_hacer_peri;x1460040199665332226;15/11/2021;0:21:24;Buenos Aires
santiago_hacer_morf;x1460040234201075712;15/11/2021;0:21:32;Santiago
aires_ser_peri;x1460040253536935939;15/11/2021;0:21:37;Buenos Aires
aires_ser_peri;x1460040264949641219;15/11/2021;0:21:40;Buenos Aires
aires_ser_peri;x1460040283836633102;15/11/2021;0:21:44;Buenos Aires
santiago_ser_morf;x1460040284645978113;15/11/2021;0:21:44;Santiago
madrid_hacer_morf;x1460040294523678727;15/11/2021;0:21:47;Madrid
mexico_ser_morf;x1460040301473677315;15/11/2021;0:21:48;México
aires_ser_peri;x1460040326903652359;15/11/2021;0:21:54;Buenos Aires
aires_ir_peri;x1460040351259975686;15/11/2021;0:22:00;Buenos Aires
santiago_tener_morf;x1460040369626701824;15/11/2021;0:22:05;Santiago
aires_ser_morf;x1460040398462726150;15/11/2021;0:22:11;Buenos Aires
lima_hacer_morf;x1460040423871758337;15/11/2021;0:22:17;Lima
aires_tener_morf;x1460040436379226113;15/11/2021;0:22:20;Buenos Aires
lima_tener_morf;x1460040444587347975;15/11/2021;0:22:22;Lima
lima_ser_morf;x1460040458088980486;15/11/2021;0:22:26;Lima
aires_ser_morf;x1460040459666010113;15/11/2021;0:22:26;Buenos Aires
madrid_hacer_peri;x1460040469006766090;15/11/2021;0:22:28;Madrid
mexico_ser_morf;x1460040491442003971;15/11/2021;0:22:34;México
aires_ser_morf;x1460040494923276290;15/11/2021;0:22:34;Buenos Aires
mexico_ser_peri;x1460040504503152644;15/11/2021;0:22:37;México
lima_tener_morf;x1460040518251986945;15/11/2021;0:22:40;Lima
aires_ser_peri;x1460040564053667844;15/11/2021;0:22:51;Buenos Aires
aires_ser_peri;x1460040564053667844;15/11/2021;0:22:51;Buenos Aires
santiago_ser_peri;x1460040571880361984;15/11/2021;0:22:53;Santiago
santiago_ser_peri;x1460040571880361984;15/11/2021;0:22:53;Santiago
mexico_ir_morf;x1460040600431083523;15/11/2021;0:23:00;México
santiago_tener_peri;x1460040616717467651;15/11/2021;0:23:03;Santiago
santiago_tener_morf;x1460040622895730693;15/11/2021;0:23:05;Santiago
lima_ser_peri;x1460040625668165635;15/11/2021;0:23:06;Lima
aires_ser_morf;x1460040645922328580;15/11/2021;0:23:10;Buenos Aires
aires_tener_peri;x1460040649001123840;15/11/2021;0:23:11;Buenos Aires
santiago_hacer_morf;x1460040663970594820;15/11/2021;0:23:15;Santiago
santiago_ser_morf;x1460040669641072645;15/11/2021;0:23:16;Santiago
santiago_tener_morf;x1460040673030291459;15/11/2021;0:23:17;Santiago
mexico_ser_morf;x1460040720237088771;15/11/2021;0:23:28;México
caracas_tener_morf;x1460040752600338438;15/11/2021;0:23:36;Caracas
lima_ser_morf;x1460040765153894401;15/11/2021;0:23:39;Lima
lima_hacer_morf;x1460040771189587970;15/11/2021;0:23:40;Lima
mexico_ser_morf;x1460040774414782465;15/11/2021;0:23:41;México
lima_ser_morf;x1460040822930477060;15/11/2021;0:23:53;Lima
mexico_ser_morf;x1460040826483101700;15/11/2021;0:23:53;México
madrid_ser_morf;x1460040847014207493;15/11/2021;0:23:58;Madrid
caracas_ser_morf;x1460040858598793216;15/11/2021;0:24:01;Caracas
caracas_ir_morf;x1460040911375769600;15/11/2021;0:24:14;Caracas
aires_tener_peri;x1460040941268516872;15/11/2021;0:24:21;Buenos Aires
aires_ir_peri;x1460040945101991938;15/11/2021;0:24:22;Buenos Aires
mexico_hacer_peri;x1460040955369820161;15/11/2021;0:24:24;México
santiago_ir_morf;x1460040960650276874;15/11/2021;0:24:25;Santiago
aires_ser_morf;x1460040969013940226;15/11/2021;0:24:27;Buenos Aires
aires_ser_morf;x1460040972004433924;15/11/2021;0:24:28;Buenos Aires
lima_ser_morf;x1460041022394847239;15/11/2021;0:24:40;Lima
lima_ser_morf;x1460041051348082689;15/11/2021;0:24:47;Lima
aires_ser_morf;x1460041102657040388;15/11/2021;0:24:59;Buenos Aires
santiago_hacer_peri;x1460041109959163905;15/11/2021;0:25:01;Santiago
aires_tener_morf;x1460041113150976006;15/11/2021;0:25:02;Buenos Aires
mexico_ir_morf;x1460041114312974336;15/11/2021;0:25:02;México
santiago_ser_peri;x1460041195669766149;15/11/2021;0:25:21;Santiago
santiago_ser_morf;x1460041195883679751;15/11/2021;0:25:22;Santiago
mexico_ir_morf;x1460041197943246851;15/11/2021;0:25:22;México
lima_ser_morf;x1460041205581070346;15/11/2021;0:25:24;Lima
lima_ser_morf;x1460041205581070346;15/11/2021;0:25:24;Lima
lima_hacer_morf;x1460041206944182279;15/11/2021;0:25:24;Lima
lima_ser_morf;x1460041208252833794;15/11/2021;0:25:24;Lima
lima_ser_morf;x1460041209683099650;15/11/2021;0:25:25;Lima
aires_hacer_peri;x1460041245691035650;15/11/2021;0:25:33;Buenos Aires
caracas_ser_morf;x1460041275592294403;15/11/2021;0:25:41;Caracas
santiago_tener_morf;x1460041290062704645;15/11/2021;0:25:44;Santiago
aires_ser_morf;x1460041290968715270;15/11/2021;0:25:44;Buenos Aires
madrid_ser_peri;x1460041296245141512;15/11/2021;0:25:45;Madrid
aires_tener_morf;x1460041296475795460;15/11/2021;0:25:45;Buenos Aires
aires_tener_morf;x1460041296475795460;15/11/2021;0:25:45;Buenos Aires
caracas_tener_morf;x1460041306118492162;15/11/2021;0:25:48;Caracas
aires_hacer_peri;x1460041310719524866;15/11/2021;0:25:49;Buenos Aires
aires_tener_peri;x1460041310719524866;15/11/2021;0:25:49;Buenos Aires
